-9,-41,-3,0,9,-3,-2,-6
1,-4,0,4,-1,-1,-2,0
-1,-15,-1,-3,-2,0,0,1
-1,47,4,5,7,3,2,2
-3,-25,-6,8,6,-3,-4,1
-7,-39,-3,-19,-23,3,-2,-11
1,-12,2,-2,3,-3,-1,2
-3,-22,-2,-2,-2,-7,-2,-1
-2,15,0,-2,-5,1,1,-1
-4,2,2,8,7,-4,-1,0
4,41,-3,23,-1,2,-2,-3
-13,-107,-20,-23,-3,-4,-4,-8
-5,0,5,-16,-2,-1,-2,-7
5,2,-2,-3,-8,0,2,2
5,-9,2,7,7,1,3,4
2,70,7,27,18,-4,-4,-2
0,14,-1,-30,-45,2,-3,-5
2,-27,-5,1,11,-2,2,1
-3,-15,-1,-17,-7,-1,1,-2
-8,5,-4,19,20,-6,-1,-2
-8,16,-2,-14,6,-1,-3,-11
-6,12,7,10,-5,-2,-2,-3
-8,-12,-6,-25,-8,-1,-4,-5
8,-4,-2,8,-4,-1,2,1
-2,-23,-1,20,13,3,1,2
2,13,-4,-1,3,0,1,3
10,18,5,6,-4,0,3,9
-3,-9,-4,-2,-1,4,-6,-10
-4,4,0,-15,-6,-3,-4,-3
4,7,5,0,2,0,1,1
-6,-3,-2,7,6,-2,-4,-6
-15,46,9,6,-7,-1,3,4
-9,-47,-9,23,12,-6,-2,-5
-2,0,-5,-37,-16,3,-1,-3
1,-7,-3,2,2,-5,-4,-2
4,-6,0,-7,-5,3,-1,2
2,-23,0,16,0,-1,0,-3
4,1,2,3,-5,0,3,4
-1,18,6,9,10,2,0,-2
0,-61,-7,-7,-3,-4,-1,0
-1,10,0,-17,-18,1,-2,-4
0,12,0,1,0,-1,-1,2
-6,-22,-3,-10,1,0,-2,-5
11,1,1,9,5,-3,0,5
0,35,1,6,-2,2,1,3
-5,-34,-5,7,12,-4,-5,-4
0,-55,-10,-15,-17,-3,-5,-6
6,36,0,0,2,3,5,3
9,13,-5,8,14,-3,1,12
-3,4,6,-9,-24,-4,-3,-6
-5,-28,-7,-1,6,-1,-4,-4
2,-9,0,3,-2,2,1,-1
12,-4,2,-5,3,1,1,2
6,32,1,-1,2,1,4,9
-12,-27,-4,2,-2,0,-5,-8
-4,19,4,-10,-15,-3,-4,-8
-14,-39,-2,-2,2,-3,-1,-3
-2,6,-1,3,0,-1,-1,-1
10,10,-1,6,-3,1,0,1
9,19,9,34,15,0,8,14
-13,5,-9,-57,-38,0,-11,-21
0,15,2,6,14,-2,0,0
-3,-16,-2,-1,-2,0,-1,1
1,9,3,2,6,-2,2,-2
8,1,2,22,11,-1,2,8
-3,0,-5,15,7,3,1,0
0,-19,6,-31,-13,-4,-2,-9
-2,9,-1,-16,-20,-2,-6,-4
-4,-9,-1,2,10,-1,-1,1
0,-13,-1,1,-1,-3,-4,-6
14,33,5,24,16,3,5,12
-7,-37,-8,-19,-12,0,-4,-5
-15,-5,-1,2,-4,-6,-1,-4
-1,-13,-5,-10,-6,-5,-5,-3
-1,-2,-3,4,7,0,1,-3
0,-3,1,2,9,3,2,3
9,20,0,-14,-12,1,3,2
13,33,0,4,8,0,3,2
-2,-8,-6,-29,-18,3,-6,0
-2,-2,0,-2,2,-4,-5,-5
1,1,-1,10,14,1,2,1
0,3,-2,-2,-8,-2,0,2
-5,-5,1,4,-1,-4,0,-1
-2,-10,1,18,4,2,0,-2
6,10,0,-25,-17,1,-3,0
-6,-4,-3,-5,-7,-1,-4,-3
4,18,2,12,1,-4,1,-2
1,-50,0,4,9,4,1,2
-14,-55,-7,7,4,-4,-7,-6
0,-3,1,-11,-3,1,-1,0
-6,33,-3,1,3,-4,-1,-1
0,10,0,-6,-3,-2,-1,0
5,1,-2,13,27,0,1,5
8,22,-1,-23,-29,-2,-6,-8
-9,-39,-6,5,8,3,-2,-7
0,24,0,-12,-12,-5,-3,-3
0,18,-1,10,10,0,0,1
-5,-7,-1,5,0,-1,-3,1
4,28,-3,6,-3,-2,1,1
1,4,-1,-12,-1,-1,0,-2
-9,8,-2,8,-11,-2,-2,-3
-4,-16,0,6,12,1,-1,-4
-2,4,1,-18,-13,0,0,2
-6,-3,-4,-4,-14,-1,-4,-3
4,58,6,14,21,-2,1,0
-3,-50,-3,8,10,-5,1,0
-14,39,-3,-8,-15,5,-3,-7
7,-14,-1,-8,-1,0,1,4
0,6,3,0,-13,-3,0,-3
0,21,-1,1,-2,1,-2,-1
